Epoch #0, train loss: 237077.2500, train acc: 0.2354, test loss: 152572.4688, test acc: 0.4125 
Epoch #90, train loss: 5771.5142, train acc: 0.6187, test loss: 29268.2266, test acc: 0.5813 

Epoch #91, train loss: 752.4881, train acc: 0.6187, test loss: 31204.9414, test acc: 0.5813 

Epoch #92, train loss: 315.4590, train acc: 0.6187, test loss: 35243.4492, test acc: 0.5813 

Epoch #93, train loss: 0.0000, train acc: 0.6187, test loss: 34745.9609, test acc: 0.5813 

Epoch #94, train loss: 0.0000, train acc: 0.6187, test loss: 34912.4531, test acc: 0.5813 

Epoch #95, train loss: 0.0000, train acc: 0.6187, test loss: 35108.2148, test acc: 0.5813 

Epoch #96, train loss: 0.0000, train acc: 0.6187, test loss: 35214.9336, test acc: 0.5813 

Epoch #97, train loss: 0.0000, train acc: 0.6187, test loss: 35261.2227, test acc: 0.5813 

Epoch #98, train loss: 0.0000, train acc: 0.6187, test loss: 35281.3008, test acc: 0.5813 

Epoch #99, train loss: 0.0000, train acc: 0.6187, test loss: 35290.0078, test acc: 0.5813 

Epoch #100, train loss: 0.0000, train acc: 0.6187, test loss: 35293.7578, test acc: 0.5813 

Epoch #101, train loss: 0.0000, train acc: 0.6187, test loss: 35295.4102, test acc: 0.5813 

Epoch #102, train loss: 0.0000, train acc: 0.6187, test loss: 35296.1211, test acc: 0.5813 

Epoch #103, train loss: 0.0000, train acc: 0.6187, test loss: 35296.4375, test acc: 0.5813 

Epoch #104, train loss: 0.0000, train acc: 0.6187, test loss: 35296.5547, test acc: 0.5813 

Epoch #105, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6016, test acc: 0.5813 

Epoch #106, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6133, test acc: 0.5813 

Epoch #107, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #108, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #109, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #110, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #111, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #112, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #113, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #114, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #115, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #116, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #117, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #118, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #119, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #120, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #121, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #122, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #123, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #124, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #125, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

Epoch #126, train loss: 0.0000, train acc: 0.6187, test loss: 35296.6172, test acc: 0.5813 

